datetime,price
01-04-2025 00:00:00,10999
02-04-2025 00:00:00,10999
03-04-2025 00:00:00,10999
05-04-2025 00:00:00,10999
06-04-2025 00:00:00,10999
07-04-2025 00:00:00,10999
08-04-2025 00:00:00,10999
09-04-2025 12:24:56,10899
10-04-2025 00:00:00,10899
11-04-2025 00:00:00,10899
12-04-2025 00:00:00,10899
13-04-2025 00:00:00,10899
14-04-2025 00:00:00,10899
14-04-2025 13:45:35,10999
15-04-2025 00:00:00,10999
16-04-2025 00:00:00,10999
17-04-2025 00:00:00,10999
18-04-2025 00:00:00,10999
19-04-2025 00:00:00,10999
20-04-2025 00:00:00,10999
21-04-2025 00:00:00,10999
22-04-2025 00:00:00,10999
23-04-2025 00:00:00,10999
24-04-2025 00:00:00,10999
25-04-2025 00:00:00,10999
26-04-2025 00:00:00,10999
27-04-2025 00:00:00,10999
28-04-2025 00:00:00,10999
29-04-2025 00:00:00,10999
30-04-2025 00:00:00,10999
01-05-2025 00:00:00,10999
01-05-2025 18:07:04,10899
07-06-2025 11:52:58,10999
08-06-2025 00:00:00,10999
09-06-2025 00:00:00,10999
10-06-2025 00:00:00,10999
11-06-2025 00:00:00,10999
12-06-2025 00:00:00,10999
12-06-2025 20:13:10,10899
13-06-2025 00:00:00,10899
14-06-2025 00:00:00,10899
15-06-2025 00:00:00,10899
16-06-2025 00:00:00,10899
17-06-2025 00:00:00,10899
17-06-2025 14:24:56,10999
17-06-2025 17:15:27,10899
18-06-2025 00:00:00,10899
19-06-2025 00:00:00,10899
20-06-2025 00:00:00,10899
20-06-2025 20:50:16,10999
21-06-2025 20:08:55,9899
22-06-2025 00:00:00,9899
22-06-2025 18:22:59,10999
23-06-2025 00:00:00,10999
24-06-2025 00:00:00,10999
25-06-2025 00:00:00,10999
26-06-2025 00:00:00,10999
27-06-2025 00:00:00,10999
28-06-2025 00:00:00,10999
29-06-2025 00:00:00,10999
30-06-2025 00:00:00,10999
01-07-2025 00:00:00,10999
02-07-2025 00:00:00,10999
03-07-2025 00:00:00,10999
04-07-2025 00:00:00,10999
