name,price,link,status
Creative Pebble 2.0 USB-Powered Desktop Speakers with Far-Field,1999,https://www.amazon.in/dp/B0791H74NT,
Seagate Expansion 4TB External HDD - USB 3.0,10999,https://www.amazon.in/dp/B08ZJFH7Y1,Unavailable
Western Digital WD 4TB My Passport Portable Hard,10799,https://www.amazon.in/dp/B07VTW2LPX,
Penguin Select Classics Crime And Punishment,348,https://www.amazon.in/dp/9815162497,
The Stranger,1199,https://www.amazon.in/dp/9389004640,
"Concept Kart KZ EDX Pro IEM Earphone, HiFi",1074,https://www.amazon.in/dp/B0BKQRF51Z,
Samsung Galaxy Tab S9 FE [Smartchoice],28999,https://www.amazon.in/dp/B0CHZ38BPP,
Amazon Brand - Symbol Men Cotton Rich Stretchable,699,https://www.amazon.in/dp/B085J75HK7,
