datetime,price
13-06-2025 14:12:11,2709
14-06-2025 00:00:00,2709
15-06-2025 00:00:00,2709
16-06-2025 00:00:00,2709
17-06-2025 09:53:22,2916
17-06-2025 12:48:40,2890
17-06-2025 13:24:26,2949
17-06-2025 17:16:48,3050
17-06-2025 21:01:37,3150
18-06-2025 00:00:00,3150
18-06-2025 09:44:56,3149
23-06-2025 18:07:06,3599
23-06-2025 21:42:17,3769
24-06-2025 00:00:00,3769
24-06-2025 09:39:08,2803
25-06-2025 18:09:14,3769
26-06-2025 00:00:00,3769
27-06-2025 01:11:50,3899
28-06-2025 00:00:00,3899
28-06-2025 13:14:43,3769
28-06-2025 14:15:02,3900
28-06-2025 18:52:05,3769
29-06-2025 00:00:00,3769
02-07-2025 00:00:00,3769
03-07-2025 00:00:00,3769
22-07-2025 12:16:46,3900
24-07-2025 13:47:11,3890
24-07-2025 21:47:07,3900
26-07-2025 12:16:33,3890
26-07-2025 16:16:27,3900
28-07-2025 11:29:25,3890
28-07-2025 13:29:27,3900
28-07-2025 16:40:00,3890
28-07-2025 18:16:50,6845
28-07-2025 19:29:19,3890
28-07-2025 23:31:13,101990
29-07-2025 08:39:04,3890
29-07-2025 10:38:55,4119
29-07-2025 14:38:58,3885
29-07-2025 16:38:53,3892
29-07-2025 20:39:02,3885
30-07-2025 10:27:27,3890
30-07-2025 18:03:38,3800
02-08-2025 02:49:34,3849
02-08-2025 18:16:27,3844
06-08-2025 02:58:51,3840
06-08-2025 18:18:44,3798
08-08-2025 02:58:22,3910
09-08-2025 02:44:38,3769
23-08-2025 02:21:30,3765
25-08-2025 18:16:57,3769
29-08-2025 06:17:56,3765
29-08-2025 18:15:42,3895
31-08-2025 06:15:23,3900
04-09-2025 18:15:30,3890
05-09-2025 18:15:12,3769
13-09-2025 18:13:21,3899
17-09-2025 06:17:27,3890
18-09-2025 18:16:32,4400
20-09-2025 02:13:41,4232
25-09-2025 06:17:52,4209
05-10-2025 18:14:15,4200
06-10-2025 18:16:43,4175
08-10-2025 18:17:16,4209
